# theta_star=30.0,redshift=0.873
# x,y,kappa_star,slope,chi2
1.135201479264470663e+02,4.039927163036781366e+01,3.780055767448224913e-01,5.548163221007209600e-01,9.378974295234645979e+03
4.529121378192367331e+01,1.097347373324942765e+02,1.239795102367645535e-01,7.690817977053027166e-01,9.400556688019387366e+03
1.950438292474989765e+01,1.159022807786115408e+02,4.300757524044619196e+00,1.000363143820859335e-01,9.361729837138624134e+03
1.048413479582648904e+02,2.672075648288388550e+01,2.140642132594583469e+00,1.000710803407180299e-01,9.389229956769309865e+03
1.378828848749213307e+02,1.319981430933776778e+01,1.030432464557114347e+00,1.000003735505747143e-01,9.404040574022750661e+03
