# x,y,z,concentration,mass,chi2
7.386768442705439952e+01,4.299500138973861851e+01,0.000000000000000000e+00,3.127247514166929587e+00,3.867592083607086250e+14,6.677418776041226920e+03
1.949450952576581813e+02,1.098285492084494024e+02,0.000000000000000000e+00,3.866752391707759973e+00,3.090372418894205859e+13,6.818710527834018649e+03
8.744925819656907606e+01,2.847799653172631906e+01,0.000000000000000000e+00,3.162873820135970515e+00,3.379666685266346250e+14,6.703017997223281782e+03
1.257477693981146416e+01,8.540976236315113113e+01,0.000000000000000000e+00,4.636485948631488441e+00,3.559660794373855957e+12,6.819775719869033310e+03
