# x,y,z,concentration,mass,chi2
7.270480159196266357e+01,3.437505688375599533e+01,0.000000000000000000e+00,2.620702484463171000e+00,3.170049807960146500e+15,6.842207236084926080e+03
1.189231127336556426e+01,9.660788298138433561e+01,0.000000000000000000e+00,2.313577787033655131e+00,1.398021587484123000e+16,8.094668750704638114e+03
1.480237678722378973e+02,9.479624824757492263e+01,0.000000000000000000e+00,2.340914316400462436e+00,1.215577870748082400e+16,7.934949366154298332e+03
1.069729172205356775e+02,1.339779264364042888e+01,0.000000000000000000e+00,2.454908138325646139e+00,6.901646171298948000e+15,7.378013459394323036e+03
