q,seed,ok,n_src,n_rec,matched,x,y,kappa_star,slope,rchi2
0.5,10000,True,100,1,True,0.5260427109413492,0.3324367441297663,0.2940586852940347,0.6369473736701063,1.0771075875522045
0.5,10001,True,98,1,True,1.1712666121921014,1.0203649176030436,0.2209544210068738,0.7049555853003346,1.077611107187247
0.5,10002,True,98,1,True,-0.026851600302265986,-0.17366826523916723,0.1950477050612016,0.7761069434096516,1.1378047316616713
0.5,10003,True,99,1,True,0.07623016188864795,0.4932534152059107,0.2050621122378188,0.7578963575138773,1.1128674665149385
0.5,10004,True,99,2,True,-0.31768919711649685,-0.16047755039219896,0.2281772834358475,0.7473863362233625,1.0878089754782592
0.5,10005,True,98,1,True,0.3818632813974314,0.09373760915019654,0.23893479046138547,0.6987192296684598,1.2338474149692653
0.5,10006,True,99,1,True,1.3531839086202022,0.028682104757577417,0.2766818647958341,0.6438259650607774,1.033324375921201
0.5,10007,True,98,1,True,-0.5317739273990669,-0.41217850334578265,0.2890943116242408,0.6433084833931978,1.0925566544111718
0.5,10008,True,99,1,True,2.244010609159893,1.1145923094809507,0.23897760201750526,0.6270707881677137,1.0497077555638576
0.5,10009,True,100,1,True,-0.1793168222647741,0.19336897575932155,0.4424660691826049,0.4925914837694838,0.9966643400671494
0.5,10010,True,99,1,True,-0.8625334489012947,0.058273726522627266,0.3230713409883354,0.5889098303011052,0.9498302112739772
0.5,10011,True,100,2,True,-1.2400743356022867,0.45713817922232025,0.40947865927397986,0.45734905441143087,0.9695985537443398
0.5,10012,True,98,1,True,-0.9761381664269014,-0.7239382552017891,0.29593424085635933,0.6354892295207251,1.0109013161426277
0.5,10013,True,100,2,True,-1.5396109420564854,-1.6614067790113833,0.23982635700864768,0.6649912135338615,1.0551685821610017
0.5,10014,True,98,1,True,0.11746229218656765,-0.008474006012704153,0.232618589309415,0.6768837923554829,1.1471424898847367
0.5,10015,True,99,1,True,1.0630563368262478,0.6039816810938419,0.20700475995626005,0.7719014933262516,1.0719783150898576
0.5,10016,True,99,1,True,0.6148469207684555,-0.05123626974510172,0.3111184982002095,0.5817591558343478,1.1162188741333188
0.5,10017,True,99,1,True,0.19847491363189593,0.15300738138587855,0.3312893228738444,0.5321152815692813,1.0037438033724675
0.5,10018,True,99,2,True,0.17663234112353865,0.14726155618852063,0.3210807004526965,0.5801262889319758,1.0631086109380132
0.5,10019,True,100,2,True,-1.97783145242785,-0.9281106721499623,0.16869489611689426,0.8642973338826555,1.065716612436352
0.5,10020,True,99,1,True,-0.5494153856874643,0.12908890978462653,0.12142443360158288,0.9873081220542701,1.0378362738895106
0.5,10021,True,97,1,True,0.09664085892968682,0.8474852389538456,0.26284275364561294,0.6529462078826626,1.0282627710311998
0.5,10022,True,99,1,True,-0.3395945191009782,0.1036390756267914,0.25058502336416655,0.6262344254632307,0.9980754224712627
0.5,10023,True,97,1,True,1.5251432065162218,0.881718120455552,0.23739429216802654,0.6973120834016727,0.9346841719083979
