# x,y,z,concentration,mass,chi2
-2.664278103223723804e+01,1.556451509534692264e+02,0.000000000000000000e+00,2.438438508059260545e+00,1.002974415375391250e+15,9.347008220702911785e+03
1.109891840275918184e+02,3.285819467211611311e+01,0.000000000000000000e+00,2.750624704481672289e+00,2.390222300396987188e+14,9.371788591944645304e+03
3.718654946102274295e+01,1.613427353121999772e+02,0.000000000000000000e+00,2.575332745915246857e+00,5.234684923908338125e+14,9.370401206569389615e+03
3.727082456179977754e+01,9.900371665536684418e+01,0.000000000000000000e+00,2.954662332832658223e+00,1.019717248302076250e+14,9.407572802849117579e+03
1.176388067028111095e+02,5.224159831189223269e+01,0.000000000000000000e+00,2.849766203004659104e+00,1.568079751004182188e+14,9.388148211434125187e+03
7.533879214539052782e+01,7.503074433014592159e+01,0.000000000000000000e+00,3.360134988156092017e+00,2.206034372840792188e+13,9.422740368323517032e+03
9.113628157799186624e+01,-4.557350839849007684e+00,0.000000000000000000e+00,3.008790159218847293e+00,8.215274793888392188e+13,9.417821211867845705e+03
