i,x,y,M200,concentration
1103,23.97829876685998,116.10136686684959,373818669194690.56,2.6492115086354002
1103,110.92946744153713,32.98687215337581,237234105687177.03,2.752360252322611
1103,33.76388864846079,138.6970363173852,453074699815149.56,2.6067650631643713
1103,96.69419792610661,-11.138136569116071,159682161184218.12,2.845421562055204
1103,75.74609436232477,72.82741981542358,20643566320646.74,3.3789225630877655
1380,23.97829876685998,116.10136686684959,371966561609771.5,2.65031703687368
1380,110.92946744153713,32.98687215337581,237227191343959.8,2.7523669908536403
1380,33.76388864846079,138.6970363173852,453642628084894.3,2.606490773178442
1380,96.69419792610661,-11.138136569116071,160346397144710.9,2.8444295556949277
1380,75.74426100096332,72.81960909421547,20847191018189.336,3.3761377819326244
962,23.97829876685998,116.10136686684959,373691205867982.5,2.6492874014141314
962,110.92946744153713,32.98687215337581,236412954154899.12,2.753162016602257
962,33.76388864846079,138.6970363173852,454479098343781.56,2.60608746369664
962,96.69419792610661,-11.138136569116071,159275416771682.5,2.846031227146388
962,75.74609436232477,72.82741981542358,20774090767527.14,3.377134098562184
198,23.97829876685998,116.10136686684959,367958735168632.5,2.6527298850963006
198,110.69639138762093,32.767098640778016,232291584785687.7,2.7572322138001346
198,33.76388864846079,138.6970363173852,449432851692453.8,2.608532857487061
198,96.69419792610661,-11.138136569116071,164171029197148.66,2.8388029521633618
198,75.74609436232477,72.82741981542358,20261507284530.64,3.384228892864125
296,23.97829876685998,116.10136686684959,371979261629456.3,2.650309435893999
296,110.92946744153713,32.98687215337581,238634226002100.62,2.7510001016075654
296,33.76388864846079,138.6970363173852,453082868220597.7,2.60676111546194
296,96.69419792610661,-11.138136569116071,161033888628649.6,2.843407498546014
296,75.74609436232477,72.82741981542358,20554930957390.414,3.380144059883864
968,25.540842393681245,139.03300176737736,540209339951173.1,2.5685317619682655
968,110.92946744153713,32.98687215337581,235059891640141.94,2.7544897415638188
968,4.1818858031232935,114.21097531784478,347574822907669.94,2.665459560223138
968,105.9614016312147,56.04648579379707,103380036210638.08,2.951260021615414
968,99.11720015364904,-11.760464637380721,183652070275041.03,2.812189007827249
1066,23.97829876685998,116.10136686684959,372833406815784.3,2.649798873453816
1066,110.92946744153713,32.98687215337581,236869877867740.03,2.752715508943383
1066,33.76388864846079,138.6970363173852,452828945108008.8,2.606883869860453
1066,96.69419792610661,-11.138136569116071,159835525384821.03,2.845192122910376
1066,75.74609436232477,72.82741981542358,20759784901650.86,3.3773295243451864
605,23.97829876685998,116.10136686684959,372892476365123.3,2.6497636117133645
605,113.71552674586911,41.277496458597206,218493008545378.72,2.771452261180364
605,96.69419792610661,-11.138136569116071,159441414538841.53,2.8457822111598947
605,33.76388864846079,138.6970363173852,454353494832991.44,2.6061479728670105
605,75.74609436232477,72.82741981542358,20965592589966.742,3.374532040208046
1466,23.97829876685998,116.10136686684959,372315041084515.6,2.6501085733950274
1466,110.92946744153713,32.98687215337581,237644759267203.47,2.7519604218475036
1466,33.76388864846079,138.6970363173852,454138560969970.25,2.6062515587807957
1466,96.69419792610661,-11.138136569116071,160213323848777.9,2.844627937389497
1466,75.74609436232477,72.82741981542358,20756047349276.945,3.3773806053630215
997,23.97829876685998,116.10136686684959,373661478478000.7,2.6493051053973398
997,110.92946744153713,32.98687215337581,237496989390332.53,2.752104210808244
997,33.76388864846079,138.6970363173852,452041321132955.75,2.607265107208899
997,96.69419792610661,-11.138136569116071,159681207583705.8,2.8454229894278966
997,75.69743825604395,72.80573102552408,20701749602755.496,3.3781238176841963
997,138.09565046183133,13.544701412786644,283523846693389.3,2.711456429741443
499,23.97829876685998,116.10136686684959,371996899141567.75,2.6502988802847485
499,110.92946744153713,32.98687215337581,237843492708137.88,2.7517671950285
499,33.76388864846079,138.6970363173852,453598354548177.0,2.6065121424053284
499,96.69419792610661,-11.138136569116071,160291641847209.1,2.844511161639801
499,75.74609436232477,72.82741981542358,20798926246445.742,3.376795178839633
1357,23.97829876685998,116.10136686684959,375763010567293.1,2.6480572960158058
1357,110.3600990802312,32.68686219352418,231932282479622.84,2.7575907586490924
1357,33.76388864846079,138.6970363173852,454812801053584.4,2.605926791285322
1357,116.67210021080467,56.367120940768814,124382311319022.81,2.905764620320957
1357,96.69419792610661,-11.138136569116071,156458973831492.38,2.8502996260377262
1357,75.74609436232477,72.82741981542358,21855776370782.633,3.3627655678522377
1357,6.955263780126501,102.9988154172889,190829971165127.94,2.803146803842548
116,23.97829876685998,116.10136686684959,370477370072466.3,2.6512102760557545
116,110.92946744153713,32.98687215337581,239061272896230.97,2.75058696677802
116,33.76388864846079,138.6970363173852,452126931569790.56,2.607223633919658
116,96.69419792610661,-11.138136569116071,159919352061826.97,2.8450668156028738
116,75.69743825604395,72.80573102552408,20849554095935.73,3.3761056376874214
116,138.09565046183133,13.544701412786644,284801490480422.3,2.7104325630769
273,19.142256026949696,126.08472501145204,468289212959619.4,2.5995427687023853
273,110.92946744153713,32.98687215337581,239758517482929.34,2.7499141529522775
273,99.11720015364904,-11.760464637380721,184313119647196.25,2.8113403827120425
