# x,y,z,concentration,mass,chi2
1.760487898396961981e+01,1.768310998009781088e+02,0.000000000000000000e+00,2.446741216068647695e+00,9.631982647984783750e+14,9.341034955110997544e+03
1.110057700483309873e+02,3.298798442501887251e+01,0.000000000000000000e+00,2.750749125837915976e+00,2.388935545434120312e+14,9.371679730300758820e+03
4.047680124602507590e+00,1.150928659831780720e+02,0.000000000000000000e+00,2.659720557729146062e+00,3.566089285599189375e+14,9.378566577906141902e+03
7.571591861011646074e+01,7.290272365182804037e+01,0.000000000000000000e+00,3.375983808580260703e+00,2.085851297440307422e+13,9.422759220281728631e+03
1.206568454130499504e+02,5.516512248039997246e+01,0.000000000000000000e+00,2.922542958301566962e+00,1.161424812195120781e+14,9.400967559466644161e+03
3.731465946113512899e+01,9.859331783534494775e+01,0.000000000000000000e+00,2.966093147988632328e+00,9.739043676446945312e+13,9.407961771241771203e+03
