# x,y,z,concentration,mass,chi2
1.622716668303784360e+01,1.409837467365573787e+02,0.000000000000000000e+00,3.389130996105492510e+00,1.484751471096380938e+14,9.760597521323466935e+03
1.216624002301239500e+02,4.988747473970174440e+01,0.000000000000000000e+00,3.758561898884014152e+00,4.332443553297029688e+13,9.811107111775208978e+03
1.084014711723131228e+02,3.206075150734861268e+01,0.000000000000000000e+00,3.701266650269865011e+00,5.201798704820596094e+13,9.804582642669523921e+03
3.535020262908081889e+01,9.034675132725116953e+01,0.000000000000000000e+00,4.205687496780034174e+00,1.136575996063301953e+13,9.845063790014473852e+03
9.141192638554201721e+01,-2.099805153709499450e+01,0.000000000000000000e+00,3.802576995125526160e+00,3.771713983767732031e+13,9.810995867482593894e+03
7.464648758984473886e+01,6.172165731578787273e+01,0.000000000000000000e+00,4.609019170498603657e+00,3.820569118834663574e+12,9.823204143201821353e+03
