# x,y,z,concentration,mass,chi2
2.397829876685997874e+01,1.161013668668495882e+02,0.000000000000000000e+00,2.650599626234903194e+00,3.714947334565086250e+14,9.362030148896588798e+03
1.109294674415371276e+02,3.298687215337581335e+01,0.000000000000000000e+00,2.752100309189041916e+00,2.375009977141612188e+14,9.371736206009089074e+03
3.376388864846079230e+01,1.386970363173851979e+02,0.000000000000000000e+00,2.606756515739640179e+00,4.530923859571257500e+14,9.363885320332627089e+03
9.669419792610661091e+01,-1.113813656911607097e+01,0.000000000000000000e+00,2.844749760609762035e+00,1.601316648692147500e+14,9.407774911156948292e+03
7.574609436232476867e+01,7.282741981542358189e+01,0.000000000000000000e+00,3.377551314157025697e+00,2.074356203071713281e+13,9.422756764304060198e+03
