# x,y,z,concentration,mass,chi2
2.396802721579389583e+01,1.161031147413568476e+02,0.000000000000000000e+00,2.650480135186103148e+00,3.716941636684246250e+14,9.362016920907823078e+03
1.108160597825096403e+02,3.288207440766325362e+01,0.000000000000000000e+00,2.752194252408314945e+00,2.374045056311207500e+14,9.371895076562450413e+03
3.344938870264225983e+01,1.385223611958545007e+02,0.000000000000000000e+00,2.605192819543730387e+00,4.563405785126377500e+14,9.363405227311563067e+03
9.743836499876071855e+01,-9.510719343377104451e+00,0.000000000000000000e+00,2.845070514712623844e+00,1.599168767903432812e+14,9.407523047997408867e+03
7.570900978477665433e+01,7.292275328956996816e+01,0.000000000000000000e+00,3.376743391016368445e+00,2.080272400669110547e+13,9.422761597682441788e+03
