# theta_star=30.0,redshift=0.873
# x,y,kappa_star,slope,chi2
2.358983973876617313e+01,1.174992990439410221e+02,8.422147461495413934e-01,4.000000315563028708e-01,9.359428534287886578e+03
1.048413506236535113e+02,2.672076126815203168e+01,6.342395105881586392e-01,4.005451889718034120e-01,9.390053424146783073e+03
1.378828837093672632e+02,1.319981420432438313e+01,4.321886125459378225e-01,4.000001228125022457e-01,9.397223792010336183e+03
4.690515113628366350e+01,1.082124493867260924e+02,1.458756606893198693e-01,7.657435316247490631e-01,9.399632847782446333e+03
1.003825539462050926e+02,6.133211560519351480e+01,2.386405235488005261e-01,5.573137309136486639e-01,9.409853184344836336e+03
6.099677836550512211e+00,1.170143118562403970e+02,1.269729331870293743e-01,8.942402409686800446e-01,9.398597351662061556e+03
