# x,y,z,concentration,mass,chi2
1.597498427153106206e+02,1.311361776405400974e+02,0.000000000000000000e+00,3.382187097371667228e+00,1.521449904313762188e+14,3.836193880683780662e+03
2.082049078512604012e+02,1.821543767207847679e+02,0.000000000000000000e+00,3.502894186301352963e+00,1.002202296812734375e+14,3.852782975910463847e+03
1.167117740448021550e+02,1.427999380547798580e+02,0.000000000000000000e+00,3.514494142528843401e+00,9.635238603646635938e+13,3.850192885513862620e+03
1.646423341887043250e+02,2.644829118674506390e+02,0.000000000000000000e+00,3.815598170274047352e+00,3.621302123256074219e+13,3.860882695454493842e+03
2.419340806346751833e+02,2.520810969882186896e+02,0.000000000000000000e+00,3.574203547452277974e+00,7.884275419767285938e+13,3.858975802582940105e+03
8.380360304037688479e+01,2.234557142572775774e+02,0.000000000000000000e+00,4.567862841497056792e+00,4.251112319268041992e+12,3.864062804397214677e+03
2.967018773981782260e+02,1.790591739555938773e+02,0.000000000000000000e+00,3.711651690882883603e+00,5.031150959205760156e+13,3.863631986685581978e+03
