,NAME,z_use,X_WORLD,Y_WORLD,SNR,FROM,epoch,f435w-f606w,f435w-f814w,f814w-f606w,mag_F814W,xc,yc,ns,rs,q,phi,psi11,psi12,psi22,psi111,psi112,psi122,psi222,err_xc,err_yc,err_ns,err_rs,err_q,err_phi,err_psi11,err_psi12,err_psi22,err_psi111,err_psi112,err_psi122,err_psi222,rchi2,F1_fit,F2_fit,a,Q111,Q112,Q122,Q222,F1_HOLICs,F2_HOLICs,mask_flag,checkFit_flag,noisemap_masked_mean,noisemap_masked_stdv,noisemap_masked_skew,noisemap_masked_kurtosis,a_pix,G1_fit,G2_fit,f1,f2,g1,g2,F,F_pix,G,stamp-size,X_IMAGE,Y_IMAGE,xs,ys,overlap_flag
821,abell2744_3148,1.6174,3.472325358,-30.36734571,50.16864816,f606w_w_f814w,1,1.0714,0.927,0.1444,24.93889872,-3.635078281,-2.018838015,2.404249099,0.214261575,2.822880264,0.398531854,0,0,0,0.011205147,-0.002302759,-0.000331562,-0.006437201,0.03975273,0.025470356,0.013267786,0.003594137,0.042836569,0.006018463,0,0,0,0.000861353,0.00084581,0.000892676,0.002579563,0.635893268,0.005436792,-0.00436998,0.474590795,-335.6859987,-449.2239054,-453.2985705,-420.8137299,-0.002620985,-0.002929474,0,0,0.000389014,0.000353616,-0.190090267,-1.961823455,15.81969318,0.006099917,-0.000235538,0.181226415,-0.145665998,0.203330566,-0.007851282,0.232511498,0.006975345,0.203482091,85,4639.370938,6726.504704,139.1811281,201.7951411,0
822,abell2744_3149,1.4842,3.48010295,-30.36728205,46.87968328,f606w_w_f814w,1,0.9562,0.6301,0.3261,25.3342462,-2.231971845,-1.404543797,1.106164354,1.826308343,3.428027687,0.532042702,0,0,0,0.016392808,-0.015906026,-0.00187738,0.013065408,0.075962984,0.054306445,0.011372919,0.021026544,0.058673725,0.005461454,0,0,0,0.001133173,0.001924569,0.001294254,0.001983454,0.483818085,0.007257714,-0.001420309,0.353131658,377.3626946,3.449903465,30.18009386,158.9229351,0.010093199,0.005821133,0,0,0.000315957,0.000350843,0.210610149,-1.954104339,11.77105527,0.011012473,-0.030391743,0.241923802,-0.047343634,0.367082436,-1.013058088,0.24651277,0.007395383,1.077513899,72,3834.118954,6734.115586,115.0235686,202.0234676,0
826,abell2744_3163,3.5217,3.456989385,-30.36725541,24.23110305,f814w_w_f814w,1,71.9214,72.0446,-0.1232,26.67344819,-1.16808208,-2.701411001,0.834103863,2.109554342,1.706501547,-0.800550924,0,0,0,-0.009127209,0.023689033,0.011140913,0.026373373,0.105516778,0.104415161,0.02762395,0.057896539,0.083502153,0.038236332,0,0,0,0.012065388,0.010225246,0.008519537,0.012106041,0.362766392,0.001006852,0.025031203,0.162906281,-1.870129181,12.48045009,-6.024414138,5.504661851,-0.005821423,0.009634791,0,0,0.000264266,0.000341478,0.519010671,-1.729124046,5.430209371,-0.021274974,0.022346863,0.033561744,0.834373425,-0.709165799,0.74489543,0.835048144,0.025051444,1.028486914,38,6227.179734,6737.235307,186.815392,202.1170592,0
827,abell2744_3168,1.0939,3.461142698,-30.36661668,49.01240645,f606w_w_f814w,1,1.4326,1.8442,-0.4116,23.64621102,1.212921824,-1.514797806,0.274016969,9.130319549,2.15907131,0.403570235,0,0,0,0.012253522,-0.0071745,0.00097075,-0.026760186,0.049076789,0.026595399,0.001888145,0.021196395,0.008471902,0.002268958,0,0,0,0.000364205,0.000436054,0.000580308,0.000366578,1.743000183,0.006612136,-0.016967343,0.458305448,219.3060448,50.90665577,-73.12584337,-33.15842161,-0.000399007,0.000804924,0,0,0.000465434,0.000438577,-0.024829289,-1.821095735,15.27684825,0.004670637,0.002618343,0.220404534,-0.565578101,0.155687885,0.087278091,0.607006381,0.018210191,0.178483004,92,5797.175652,6813.932281,173.9152696,204.4179684,0
828,abell2744_3169,0.7583,3.491745776,-30.36712162,36.95508466,f606w_w_f814w,1,1.2268,1.2633,-0.0365,25.86421204,-1.10958258,-2.270169546,0.903555409,2.275869937,1.330809287,-0.358447013,0,0,0,-0.017350546,0.004149882,0.003224166,0.032864828,0.046695106,0.041003909,0.011927954,0.028042187,0.026699318,0.034281359,0,0,0,0.004972936,0.00341065,0.003601544,0.005374506,0.3408238,-0.00706319,0.018507355,0.168284871,8.124482209,-5.573274458,-1.219895184,-3.397610519,0.002008658,-0.004566566,0,0,0.000304061,0.000351005,0.288765011,-1.915330652,5.609495695,-0.013511522,-0.01020759,-0.235439668,0.616911835,-0.450384063,-0.340253013,0.660312085,0.019809363,0.564462502,37,2628.677226,6753.22063,78.86031679,202.5966189,0
829,abell2744_3175,1.0096,3.48418381,-30.36664048,45.33757744,f814w_w_f814w,1,1.3301,1.4836,-0.1535,24.40979734,-3.145373276,-3.774255034,0.854609486,7.742150136,1.258395426,1.249472234,0,0,0,0.008531037,0.011379917,0.000124967,-0.000830847,0.145527162,0.182718551,0.013120721,0.086541727,0.018942572,0.023388026,0,0,0,0.002871955,0.002459513,0.00162356,0.002089024,0.351921045,0.004328002,0.005274535,0.440278545,-156.5244927,98.52760185,81.61399435,-88.92228975,-0.004540766,0.000552685,0,0,0.000265827,0.000343092,0.516887687,-1.730684857,14.67595151,0.004078069,0.017485298,0.144266729,0.175817833,0.135935624,0.582843273,0.227430868,0.006822926,0.5984854,105,3411.600814,6811.066818,102.3480244,204.3320045,0
830,abell2744_3177,1.2861,3.446899262,-30.36697847,39.29468204,f606w_w_f814w,1,1.0206,0.8576,0.163,25.8548522,-1.546222827,-2.229023654,1.189572547,1.476003748,1.236967902,-1.138427292,0,0,0,0.000881434,0.036960453,0.000988011,0.015122432,0.036652201,0.032452001,0.014892787,0.02307124,0.028741545,0.052576676,0,0,0,0.005629767,0.003178871,0.003542677,0.004424352,0.365444967,0.000934722,0.026041442,0.182065849,18.48866754,4.577068484,-6.221114306,3.805672474,0.005019325,0.002530248,0,0,0.000293574,0.000349973,0.354057309,-1.873015257,6.068861628,-0.0010413,0.047879463,0.031157413,0.868048072,-0.034709996,1.595982106,0.868607069,0.026058212,1.596359504,40,7271.867841,6770.281863,218.1560352,203.1084559,0
831,abell2744_3184,1.7195,3.479338014,-30.36673496,52.53638471,f606w_w_f814w,1,1.0701,0.7917,0.2784,25.32778376,-2.486120116,-1.357291153,0.453004517,6.47832936,1.204931515,-1.112819855,0,0,0,0.027400517,0.002462465,-0.001061752,-0.029057674,0.082121266,0.085471428,0.008316539,0.058241477,0.01767759,0.040619985,0,0,0,0.003620515,0.001831918,0.001733486,0.002388049,0.47730594,0.013169382,-0.013297605,0.238443212,-16.43382079,-7.175492592,-16.21371738,-46.23965419,-0.004252204,-0.006529208,0,0,0.000289299,0.000347342,0.368331285,-1.863113718,7.948107074,0.015292887,0.018222534,0.438979406,-0.443253487,0.509762889,0.607417815,0.623840182,0.018715205,0.792978313,59,3913.313509,6799.771754,117.3994053,203.9931526,0
834,abell2744_3202,4.3437,3.45412855,-30.36673062,28.24388056,f814w_w_f814w,1,3.8504,4.3359,-0.4855,26.23641277,-1.969737974,-1.699542574,1.105411943,1.97488552,1.437010532,-0.57389103,0,0,0,0.009843635,0.006586287,0.009816714,-0.015892703,0.067963483,0.085434167,0.02560544,0.051630788,0.055489083,0.052351971,0,0,0,0.008308374,0.006109444,0.005895917,0.00978466,0.278832924,0.009830175,-0.004653208,0.210680793,35.17325256,1.317168587,7.450676168,12.17554414,0.009501924,0.004791488,0,0,0.000246624,0.000338895,0.647169584,-1.579572775,7.022693101,-0.009803254,0.017825783,0.327672488,-0.155106929,-0.326775142,0.594192756,0.362529197,0.010875876,0.678120214,47,6523.387277,6800.167289,195.7016183,204.0050187,0
836,abell2744_3204,1.6378,3.474506029,-30.36612733,136.1810008,f814w_w_f814w,1,1.0244,0.7007,0.3237,23.96753898,-1.607434872,-2.39020592,2.309322507,0.189469222,1.879386139,1.095656263,0,0,0,-0.002229799,-0.005918331,0.007334817,0.015113897,0.009655557,0.012049388,0.006122974,0.001530033,0.013874513,0.005429761,0,0,0,0.001527217,0.000952431,0.000799154,0.000781116,0.755666707,0.002552509,0.004597783,0.341733906,-17.21180285,-7.894476603,-22.03810818,162.5780544,-0.003895236,0.003988737,0,0,0.000449016,0.000341767,-0.551294644,-1.693220126,11.39113019,-0.012117125,-0.016434445,0.085083625,0.153259428,-0.403904163,-0.547814823,0.175293113,0.005258793,0.680617112,73,4413.595144,6872.707549,132.4078543,206.1812265,0
837,abell2744_3205,0.9899,3.447659748,-30.36650758,67.06169014,f814w_w_f814w,1,1.6596,2.6549,-0.9953,25.08516695,-1.430001991,-2.014441441,1.439620639,1.639331526,1.214741608,1.516344626,0,0,0,-0.005039865,0.001068275,0.007806329,0.00907054,0.040044729,0.04166749,0.012192362,0.022449675,0.020592102,0.043337132,0,0,0,0.003297951,0.002176252,0.002126208,0.00265751,0.287918824,0.001383232,0.005069408,0.288074227,9.048304531,-17.33689548,22.25612631,45.49228338,0.001966467,0.000604728,0,0,0.000277234,0.000345982,0.447514794,-1.798013176,9.602474232,-0.014229427,-0.002932857,0.046107736,0.16898026,-0.474314221,-0.097761908,0.175157791,0.005254734,0.48428439,60,7193.144065,6826.806341,215.7943219,204.8041902,0
838,abell2744_3208,0.8156,3.471384661,-30.3664763,30.30107696,f814w_w_f814w,1,1.4813,2.1256,-0.6443,25.49644785,-1.899747939,-3.463956186,1.293862749,1.640176201,1.677241078,1.29913952,0,0,0,0.025228385,0.008237808,0.001453748,0.0250145,0.060509721,0.080315737,0.022370696,0.037145232,0.054149511,0.02803873,0,0,0,0.005961449,0.002859616,0.002963461,0.003143223,0.359153176,0.013341067,0.016626154,0.271253845,11.48280671,45.71353369,-19.33630225,81.15370558,0.000930052,0.011370619,0,0,0.000268878,0.000343872,0.497635829,-1.751045154,9.041794847,0.010433571,-0.000150538,0.44470222,0.554205138,0.347785687,-0.005017922,0.710565549,0.021316966,0.347821885,59,4736.768418,6830.833617,142.1030525,204.9250085,0
839,abell2744_3211,0.9524,3.456815463,-30.36657473,23.91852714,f814w_w_f814w,1,0.6187,0.8351,-0.2164,26.27699934,-1.781074522,-1.033882809,0.6477582,4.488574625,1.123152079,2.127908746,0,0,0,-0.009272682,-0.019683627,0.002628706,0.023158807,0.133747765,0.136622487,0.02111501,0.096249324,0.039952097,0.156145203,0,0,0,0.009018217,0.005800883,0.005391373,0.008498384,0.377400574,-0.003321988,0.00173759,0.198230777,1.628202903,-7.160181406,-10.7432208,-41.97809858,0.003023333,-0.012082808,0,0,0.000278639,0.000354739,0.489115229,-1.757707078,6.607692555,-0.008579401,-0.041104844,-0.110732933,0.05791967,-0.285980025,-1.370161455,0.124965878,0.003748976,1.399688175,45,6245.199317,6818.914958,187.3559795,204.5674487,0
841,abell2744_3223,0.3369,3.490629567,-30.36625442,44.8475797,f606w_w_f814w,1,1.7568,1.5169,0.2399,25.43663597,-2.501688928,-1.37968783,0.696226242,6.583003333,1.092394523,-1.017380462,0,0,0,0.013407839,-0.004195211,0.00580417,-0.007730226,0.097958959,0.096809277,0.011121604,0.073638004,0.02031465,0.106966923,0,0,0,0.002872274,0.001774094,0.001824716,0.00294428,0.261184724,0.009606004,-0.005962718,0.294246086,115.1120411,11.57817302,36.64856006,-49.59421249,0.008067238,-0.002716695,0,0,0.000281865,0.000347461,0.422213593,-1.820286916,9.808202852,-0.002002336,-0.002427704,0.320200147,-0.198757281,-0.066744537,-0.080923454,0.376872115,0.011306163,0.104897276,67,2744.228927,6857.303649,82.32686782,205.7191095,0
842,abell2744_3225,0.8284,3.470339278,-30.36627424,32.65683107,f606w_w_f814w,1,1.2678,1.633,-0.3652,24.69338739,-1.748174593,-1.5379471,0.751293665,4.254262906,1.194235031,-0.025179761,0,0,0,0.007722273,0.003695456,-0.003251585,-0.004351893,0.044693072,0.020196901,0.006388685,0.028249241,0.012614152,0.029880061,0,0,0,0.00213143,0.001501874,0.00168828,0.002400865,0.400761962,0.002235344,-0.000328219,0.230713676,-7.34347292,8.365105998,-15.055174,-12.19162807,-0.002576503,-0.001539357,0,0,0.000277052,0.000346159,0.449726159,-1.796414658,7.690455864,0.008738514,0.00771913,0.074511458,-0.010940629,0.291283802,0.257304334,0.075310389,0.002259312,0.388653797,52,4845.003723,6855.079066,145.3501117,205.652372,0
844,abell2744_3231,0.4339,3.467130858,-30.36528862,103.4519717,f606w_w_f814w,1,1.609,1.5076,0.1014,24.13936327,-2.035459238,-2.01858043,1.13342074,1.91546192,3.51496937,-1.32412298,0,0,0,0.00252581,-0.001005537,0.00060938,0.003069502,0.015167641,0.018719033,0.003882678,0.007625874,0.021328174,0.001802742,0,0,0,0.001783429,0.00055318,0.00066583,0.000910303,0.737698908,0.001567595,0.001031983,0.448417199,-7.7432157,-7.284283378,-79.82691402,291.6679673,-0.002643857,-0.000447301,1,0,0.000364383,0.000355982,-0.045443945,-1.995490409,14.94723997,0.000348835,-0.003043057,0.052253176,0.034399419,0.011627824,-0.10143522,0.062559687,0.001876791,0.102099511,81,5177.19801,6973.342826,155.3159403,209.2002848,0
845,abell2744_3236,1.1059,3.482700722,-30.3662793,37.97418985,f606w_w_f814w,1,0.8525,0.6706,0.1819,25.81912258,-0.757856336,-2.257279566,1.159608606,1.284293094,1.74798826,0.608011721,0,0,0,-0.043644143,0.026642682,0.008749454,-0.009887391,0.036457389,0.034113053,0.012360613,0.016431374,0.034429011,0.017183152,0,0,0,0.003349075,0.002821304,0.003449239,0.005501535,0.491202809,-0.017447344,0.008377646,0.19788115,-57.09287776,7.550420692,0.004497648,-10.65815421,-0.008135945,-0.004223898,0,0,0.000299977,0.000348047,0.299012264,-1.909275346,6.596038336,-0.034946252,0.044907718,-0.58157815,0.279254859,-1.16487508,1.496923949,0.645148371,0.019354451,1.896764419,42,3565.149903,6854.423317,106.9544971,205.6326995,0
847,abell2744_3240,1.0577,3.461148353,-30.36611382,31.59546017,f606w_w_f814w,1,1.121,1.0942,0.0268,25.02396193,-2.131901948,-1.224119398,0.611200748,2.978314772,1.970179206,-0.752566477,0,0,0,0.019197251,0.007484037,0.007752512,-0.023223228,0.055214648,0.054227989,0.008358361,0.02393974,0.027120098,0.010061915,0,0,0,0.003960762,0.003086736,0.003371824,0.004519124,0.52855721,0.013474882,-0.007869595,0.192541073,-3.50749421,4.915471975,4.976145419,-6.919137957,0.00156955,0.000933613,0,0,0.000276861,0.000352821,0.490849326,-1.756598444,6.418035778,-0.002030142,0.022837669,0.449162719,-0.262319849,-0.067671411,0.761255632,0.520152719,0.015604582,0.76425752,45,5796.597193,6874.275661,173.8979158,206.2282698,0
