,NAME,z_use,X_WORLD,Y_WORLD,SNR,FROM,epoch,f435w-f606w,f435w-f814w,f814w-f606w,mag_F814W,xc,yc,ns,rs,q,phi,psi11,psi12,psi22,psi111,psi112,psi122,psi222,err_xc,err_yc,err_ns,err_rs,err_q,err_phi,err_psi11,err_psi12,err_psi22,err_psi111,err_psi112,err_psi122,err_psi222,rchi2,F1_fit,F2_fit,a,Q111,Q112,Q122,Q222,F1_HOLICs,F2_HOLICs,mask_flag,checkFit_flag,noisemap_masked_mean,noisemap_masked_stdv,noisemap_masked_skew,noisemap_masked_kurtosis,a_pix,G1_fit,G2_fit,f1,f2,g1,g2,F,F_pix,G,stamp-size,X_IMAGE,Y_IMAGE,xs,ys,overlap_flag
201,abell2744_403,2.8585,3.592597954,-30.41733997,35.06439082,f606w_w_f814w,2,1.2035,0.7234,0.4801,25.68118956,-1.86929265,-1.35530039,0.621133219,2.862567508,2.065182226,0.215391539,0,0,0,-0.007015425,0.002737022,0.007955958,0.002175419,0.091219266,0.058872745,0.010758297,0.030476261,0.037566668,0.011507402,0,0,0,0.00359694,0.002748758,0.004086365,0.011523009,0.551319975,0.000470266,0.00245622,0.182522723,-1.775348737,1.318124517,7.090390698,4.457600864,0.008281162,-0.004685587,0,0,0.000270524,0.000377259,0.680229462,-1.53146318,6.084090764,-0.01544165,0.003017824,0.015675548,0.081874015,-0.514721663,0.10059414,0.083361125,0.002500834,0.524459313,44,4271.488792,2576.152207,128.1446637,77.28456621,0
202,abell2744_414,0.3422,3.583499097,-30.41695862,43.3636301,f814w_w_f814w,2,1.9127,2.2111,-0.2984,25.66582942,-1.545249934,-1.154373662,0.964716625,2.998693661,1.450686618,1.413317561,0,0,0,0.012131807,-0.002075275,0.009457424,-0.018945416,0.064422971,0.113646377,0.016862659,0.049897021,0.036355391,0.034977732,0,0,0,0.005130925,0.003537403,0.003321715,0.004192906,0.345349526,0.010794616,-0.010510346,0.253575279,69.28049541,-7.019482387,28.41825981,-26.77992798,0.016851951,-0.006294432,0,0,0.000289563,0.000380429,0.554451302,-1.68883806,8.452509297,-0.008120232,0.006359795,0.359820522,-0.350344853,-0.270674408,0.211993179,0.502207451,0.015066224,0.343810621,56,5213.061914,2621.958922,156.3918574,78.65876766,0
203,abell2744_421,0.6747,3.562719744,-30.41599053,74.07787656,f606w_w_f814w,2,1.3381,1.2012,0.1369,22.80905843,0.608931119,-0.774320701,0.617776805,8.97859082,2.103110527,0.677903088,0,0,0,-0.007772844,0.000823509,-0.003298376,0.001549649,0.056231271,0.022719843,0.002337273,0.0207464,0.007034864,0.002523297,0,0,0,0.000168675,0.000456043,0.000492544,0.000223187,1.31764925,-0.00553561,0.001186579,0.490685634,-63.49962708,-30.7082893,-126.2999923,-25.92706364,-0.007502931,0.00616643,0,0,0.000283758,0.00048896,1.152943185,-0.64443043,16.3561878,0.001061142,0.000460438,-0.184520338,0.039552631,0.035371412,0.015347942,0.18871186,0.005661356,0.038557698,139,7363.392693,2737.947404,220.9017808,82.13842212,0
204,abell2744_422,0.3486,3.606439133,-30.41659061,42.97620362,f606w_w_f814w,2,1.6876,1.5097,0.1779,25.07749402,-1.971583689,-0.692234661,0.752848516,2.737320506,1.935930582,-1.011833448,0,0,0,0.014735676,-0.009267829,0.002898528,-0.019336528,0.037480297,0.048419145,0.007873426,0.020920688,0.025425672,0.009163865,0,0,0,0.003667941,0.002644458,0.002358481,0.0027782,0.564222749,0.008817102,-0.014302178,0.219599304,27.66491703,-19.15043712,14.27841273,-22.45339505,0.015964495,-0.004538723,0,0,0.000320398,0.000408081,0.490695941,-1.754751319,7.319976801,0.003020046,-0.004233479,0.293903401,-0.476739277,0.100668196,-0.141115974,0.560053165,0.016801595,0.173343023,50,2839.149812,2665.862528,85.17449436,79.97587585,0
205,abell2744_423,1.3145,3.586274881,-30.41656787,91.17491005,f606w_w_f814w,2,0.9228,0.7808,0.142,23.8495903,-4.129072,-1.916496677,0.568343461,2.831327436,3.553929455,0.138134902,0,0,0,0.021921477,0.000220548,0.011056533,-0.001469212,0.026524756,0.017242197,0.003188446,0.006780892,0.016940579,0.002143764,0,0,0,8.03E-05,0.000388814,0.000856543,0.00477712,1.62091301,0.016489005,-0.000624332,0.319810622,336.6889318,78.03035511,10.5739691,-17.48880834,0.004306514,-0.007030551,0,0,0.000466681,0.00038814,-0.366534105,-1.857240054,10.66035407,-0.005624061,0.001065428,0.549633504,-0.020811078,-0.187468703,0.035514253,0.550027354,0.016500821,0.190802979,66,4925.814526,2668.843101,147.7744358,80.06529304,0
206,abell2744_426,0.3761,3.595467655,-30.41643189,26.61939782,f814w_w_f814w,2,2.2299,2.3398,-0.1099,25.85807566,-1.161597292,-1.911366107,0.691281546,6.345903189,1.102143716,-0.814095955,0,0,0,-0.002868427,0.007140392,-0.001360732,-0.006053968,0.199829588,0.205753109,0.022021963,0.153510836,0.042458692,0.194509313,0,0,0,0.006312745,0.004436004,0.004196049,0.006522091,0.39952561,-0.00211458,0.000543212,0.262440794,-9.184612766,39.18604449,0.753421151,-69.19006158,-0.000853444,-0.006735165,0,0,0.000262776,0.000375932,0.734492463,-1.454321048,8.748026473,0.000606885,0.013737572,-0.070485996,0.018107061,0.0202295,0.457919054,0.072774593,0.002183238,0.458365675,65,3974.513385,2685.092478,119.2354016,80.55277433,0
207,abell2744_433,0.5429,3.580290518,-30.41629928,26.99679855,f814w_w_f814w,2,1.7213,1.9964,-0.2751,26.40328425,-1.583159436,-1.79813568,0.904568164,3.659571341,1,0.741667359,0,0,0,-0.019404049,-0.002443618,0.003490157,-0.004967628,0.132435872,0.142115004,0.027556448,0.069107289,2.29E-10,0.284035573,0,0,0,0.008280196,0.006736526,0.006789443,0.010764883,0.327443723,-0.007956946,-0.003705623,0.216382807,-20.86950476,8.945909777,7.343381052,-16.96989001,-0.003175703,-0.0031223,0,0,0.000243534,0.000364529,0.830109566,-1.307950953,7.212760236,-0.01493726,-0.001181613,-0.26523152,-0.123520757,-0.497908677,-0.039387095,0.292583555,0.008777507,0.499464107,51,5545.097598,2701.077907,166.3529279,81.03233721,0
208,abell2744_437,0.7157,3.583048544,-30.41610971,42.3514358,f606w_w_f814w,2,1.3385,1.4324,-0.0939,24.84308452,-1.693973962,-1.416593138,1.039949021,1.609042266,1.83850465,0.214805137,0,0,0,-0.000903297,0.005158781,0.002158778,-0.024750117,0.029473653,0.019705015,0.006995261,0.011476298,0.020205736,0.008565306,0,0,0,0.002312577,0.001764744,0.002169256,0.003766462,0.440224571,0.000627741,-0.009795668,0.183639519,18.84965203,6.347577058,8.347477681,-5.478921682,0.009025756,-0.008049514,1,0,0.000401909,0.00039399,-0.037743982,-1.994437136,6.121317294,-0.003689816,0.020113229,0.020924689,-0.326522281,-0.122993871,0.670440983,0.327192057,0.009815762,0.681629374,42,5259.687122,2723.827979,157.7906137,81.71483936,0
209,abell2744_440,0.7277,3.600705183,-30.41598045,26.89653933,f814w_w_f814w,2,1.9649,2.1206,-0.1557,25.8303664,-0.926817903,-1.448180734,1.035355586,3.751675888,1.170747198,0.093481103,0,0,0,-0.012915822,0.016320854,-0.002368396,-0.019696103,0.14065941,0.123816932,0.026069911,0.100767123,0.046446896,0.122243326,0,0,0,0.005927359,0.004144798,0.003955185,0.005647584,0.440540204,-0.007642109,-0.001687625,0.279015093,8.192678838,30.77262974,37.15379383,6.306392813,0.005479016,0.005327916,0,0,0.000206711,0.000350261,1.106206731,-0.771899422,9.300503096,-0.002905317,0.034329332,-0.254736973,-0.056254163,-0.096843908,1.144311064,0.260874407,0.007826232,1.148401739,71,3432.507293,2739.191395,102.9752188,82.17574185,0
210,abell2744_443,0.3934,3.592400339,-30.41596834,25.01035881,f814w_w_f814w,2,72.4202,72.6905,-0.2703,25.92194881,-1.337759223,-1.718801938,0.917024776,4.661628365,1.098466365,0.359877777,0,0,0,-0.01281934,0.013596015,0.002139457,-0.00405439,0.163722896,0.141564578,0.026325417,0.129392261,0.045827259,0.223191911,0,0,0,0.005982339,0.00603388,0.004654849,0.006014772,0.389460683,-0.005339942,0.004770813,0.269637663,-11.12970885,73.22543602,29.37060676,75.50762221,0.003146395,0.016808227,0,0,0.000241797,0.000365508,0.852940222,-1.266294055,8.987922107,-0.009618855,0.022421217,-0.17799806,0.15902709,-0.320628508,0.747373916,0.238690018,0.007160701,0.813246833,64,4291.925798,2740.749513,128.757774,82.2224854,0
