catalog,src_id,img_id,ra_deg,dec_deg,theta_x_arcsec,theta_y_arcsec,z,z_type,z_err,pos_err_arcsec,notes
Furtak2023,25202,25202.1,3.546745,-30.379498,-129.150119,74.285904,,unknown,,,from_vizier
Furtak2023,25203,25203.1,3.542031,-30.379457,-143.790939,74.427946,,unknown,,,from_vizier
Furtak2023,25204,25204.1,3.541960,-30.379459,-144.009935,74.421849,,unknown,,,from_vizier
Furtak2023,25205,25205.1,3.539921,-30.379464,-150.342660,74.401572,,unknown,,,from_vizier
Furtak2023,25206,25206.1,3.629478,-30.379443,127.793771,74.487752,,unknown,,,from_vizier
Furtak2023,25207,25207.1,3.580506,-30.379440,-24.299066,74.520832,,unknown,,,from_vizier
Furtak2023,25208,25208.1,3.540554,-30.379410,-148.378212,74.595187,,unknown,,,from_vizier
Furtak2023,25209,25209.1,3.513444,-30.379569,-232.574715,73.977988,,unknown,,,from_vizier
Furtak2023,25210,25210.1,3.513257,-30.379482,-233.152850,74.290772,,unknown,,,from_vizier
Furtak2023,25211,25211.1,3.507216,-30.379450,-251.914790,74.393249,,unknown,,,from_vizier
Furtak2023,25212,25212.1,3.641223,-30.379437,164.269256,74.490835,,unknown,,,from_vizier
Furtak2023,25213,25213.1,3.635302,-30.379547,145.881626,74.104247,,unknown,,,from_vizier
Furtak2023,25214,25214.1,3.635468,-30.379499,146.395867,74.276178,,unknown,,,from_vizier
Furtak2023,25215,25215.1,3.582619,-30.379442,-17.736428,74.512218,,unknown,,,from_vizier
Furtak2023,25216,25216.1,3.564478,-30.379416,-74.077795,74.598935,,unknown,,,from_vizier
Furtak2023,25217,25217.1,3.554701,-30.379427,-104.442273,74.550628,,unknown,,,from_vizier
Furtak2023,25218,25218.1,3.540331,-30.379411,-149.070718,74.592312,,unknown,,,from_vizier
Furtak2023,25219,25219.1,3.498488,-30.379433,-279.022508,74.433436,,unknown,,,from_vizier
Furtak2023,25220,25220.1,3.609721,-30.379394,66.435521,74.677740,,unknown,,,from_vizier
Furtak2023,25221,25221.1,3.609118,-30.379419,64.559986,74.590181,,unknown,,,from_vizier
Furtak2023,25222,25222.1,3.550880,-30.379409,-116.307981,74.612337,,unknown,,,from_vizier
Furtak2023,25223,25223.1,3.555726,-30.379390,-101.257648,74.683687,,unknown,,,from_vizier
Furtak2023,25224,25224.1,3.554043,-30.379393,-106.484101,74.674716,,unknown,,,from_vizier
Furtak2023,25225,25225.1,3.551899,-30.379605,-113.142909,73.908917,,unknown,,,from_vizier
Furtak2023,25226,25226.1,3.545722,-30.379409,-132.329006,74.607101,,unknown,,,from_vizier
Furtak2023,25227,25227.1,3.544725,-30.379413,-135.423494,74.589982,,unknown,,,from_vizier
Furtak2023,25228,25228.1,3.516373,-30.379364,-223.477676,74.722319,,unknown,,,from_vizier
Furtak2023,25229,25229.1,3.632462,-30.379717,137.059217,73.494432,,unknown,,,from_vizier
Furtak2023,25230,25230.1,3.632679,-30.379565,137.735570,74.043966,,unknown,,,from_vizier
Furtak2023,25231,25231.1,3.630166,-30.379430,129.931207,74.531142,,unknown,,,from_vizier
Furtak2023,25232,25232.1,3.577185,-30.379438,-34.613281,74.523764,,unknown,,,from_vizier
Furtak2023,25233,25233.1,3.549647,-30.379378,-120.138121,74.723448,,unknown,,,from_vizier
Furtak2023,25234,25234.1,3.545159,-30.379392,-134.075935,74.667277,,unknown,,,from_vizier
Furtak2023,25235,25235.1,3.534226,-30.379899,-168.028958,72.828393,,unknown,,,from_vizier
Furtak2023,25236,25236.1,3.533846,-30.380022,-169.208689,72.385801,,unknown,,,from_vizier
Furtak2023,25237,25237.1,3.534026,-30.379538,-168.650563,74.127778,,unknown,,,from_vizier
Furtak2023,25238,25238.1,3.516901,-30.379364,-221.837983,74.723204,,unknown,,,from_vizier
Furtak2023,25239,25239.1,3.630340,-30.379369,130.470821,74.750203,,unknown,,,from_vizier
Furtak2023,25240,25240.1,3.627913,-30.379370,122.932308,74.751598,,unknown,,,from_vizier
Furtak2023,25241,25241.1,3.595596,-30.379414,22.565719,74.611695,,unknown,,,from_vizier
Furtak2023,25242,25242.1,3.595513,-30.379407,22.309376,74.638788,,unknown,,,from_vizier
Furtak2023,25243,25243.1,3.595355,-30.379395,21.818349,74.682432,,unknown,,,from_vizier
Furtak2023,25244,25244.1,3.530591,-30.379354,-179.319170,74.782820,,unknown,,,from_vizier
Furtak2023,25245,25245.1,3.527383,-30.379366,-189.283151,74.734692,,unknown,,,from_vizier
Furtak2023,25246,25246.1,3.513604,-30.379357,-232.077475,74.742416,,unknown,,,from_vizier
Furtak2023,25247,25247.1,3.498992,-30.379389,-277.458472,74.595565,,unknown,,,from_vizier
Furtak2023,25248,25248.1,3.624444,-30.379506,112.160230,74.264728,,unknown,,,from_vizier
Furtak2023,25249,25249.1,3.624421,-30.379389,112.088389,74.686596,,unknown,,,from_vizier
