# theta_star=30.0,redshift=0.308
# x,y,kappa_star,slope,chi2
7.209428889320594180e+01,3.615641748199820427e+01,1.018310216821403325e+00,2.009328245763824239e-01,6.694240694057932160e+03
8.733599165183721880e+01,2.191253235247577891e+01,1.489275778411805196e-01,1.840778224492810033e-01,6.800228577990867052e+03
4.908790253777232948e+01,2.945838363712051944e+01,4.162747915649404884e-03,1.433774027666947060e+00,6.807644754183940677e+03
